Bin Start,Accumulated Count
6.356217236071224ms,940765
6.369794793796668ms,944763
6.383372351522114ms,948408
6.396949909247558ms,951882
6.410527466973004ms,955022
6.4241050246984495ms,958024
6.437682582423895ms,960763
6.45126014014934ms,963211
6.464837697874785ms,965473
6.47841525560023ms,967403
6.491992813325675ms,969179
6.50557037105112ms,970788
6.519147928776565ms,972184
6.53272548650201ms,973474
6.5463030442274555ms,974647
6.559880601952901ms,975739
6.573458159678346ms,976742
6.587035717403792ms,977630
6.600613275129236ms,978471
6.614190832854682ms,979253
6.627768390580126ms,979946
6.641345948305572ms,980647
6.654923506031016ms,981288
6.668501063756462ms,981934
6.682078621481907ms,982555
6.695656179207353ms,983121
6.709233736932797ms,983680
6.722811294658243ms,984300
6.736388852383687ms,984856
6.749966410109133ms,985457
6.763543967834578ms,986017
6.777121525560023ms,986580
6.790699083285468ms,987099
6.8042766410109135ms,987672
6.817854198736359ms,988180
6.831431756461804ms,988654
6.845009314187249ms,989126
6.858586871912694ms,989570
6.872164429638139ms,990028
6.885741987363584ms,990463
6.899319545089029ms,990849
6.912897102814474ms,991251
6.92647466053992ms,991642
6.940052218265365ms,992043
6.953629775990811ms,992393
6.967207333716255ms,992736
6.980784891441701ms,993130
6.994362449167145ms,993534
7.007940006892591ms,993925
7.021517564618035ms,994337
7.035095122343481ms,994751
7.0486726800689254ms,995195
7.062250237794371ms,995570
7.075827795519816ms,995968
7.089405353245262ms,996330
7.102982910970707ms,996657
7.116560468696152ms,996951
7.130138026421597ms,997241
7.143715584147042ms,997464
7.157293141872487ms,997687
7.170870699597932ms,997849
7.184448257323377ms,997969
7.1980258150488226ms,998072
7.211603372774268ms,998145
7.225180930499713ms,998205
7.238758488225158ms,998259
7.252336045950603ms,998287
7.265913603676049ms,998312
7.279491161401493ms,998330
7.293068719126939ms,998347
7.306646276852383ms,998362
7.320223834577829ms,998371
7.333801392303274ms,998379
7.34737895002872ms,998385
7.360956507754164ms,998390
7.37453406547961ms,998396
7.388111623205054ms,998400
7.4016891809305ms,998402
7.415266738655945ms,998407
7.42884429638139ms,998411
7.442421854106835ms,998415
7.4559994118322805ms,998421
7.469576969557726ms,998428
7.483154527283171ms,998432
7.496732085008616ms,998436
7.510309642734061ms,998439
7.523887200459506ms,998444
7.537464758184951ms,998448
7.551042315910396ms,998454
7.564619873635841ms,998457
7.578197431361287ms,998458
7.591774989086732ms,998469
7.605352546812178ms,998475
7.618930104537622ms,998479
7.632507662263068ms,998485
7.646085219988512ms,998491
7.659662777713958ms,998501
7.673240335439402ms,998507
7.686817893164848ms,998512
7.7003954508902925ms,998518
7.7139730086157385ms,998520
7.727550566341183ms,998523
7.741128124066629ms,998527
7.754705681792074ms,998531
7.768283239517519ms,998537
7.781860797242964ms,998539
7.795438354968409ms,998542
7.809015912693854ms,998544
7.822593470419299ms,998549
7.8361710281447445ms,998555
7.84974858587019ms,998565
7.863326143595635ms,998570
7.87690370132108ms,998571
7.890481259046525ms,998576
7.90405881677197ms,998577
7.917636374497416ms,998581
7.93121393222286ms,998582
7.944791489948306ms,998584
7.9583690476737505ms,998588
7.9719466053991965ms,998592
7.985524163124641ms,998595
7.999101720850087ms,998601
8.012679278575531ms,998607
8.026256836300977ms,998610
8.039834394026421ms,998613
8.053411951751867ms,998618
8.066989509477311ms,998623
8.080567067202757ms,998626
8.094144624928202ms,998626
8.107722182653648ms,998631
8.121299740379094ms,998634
8.134877298104538ms,998638
8.148454855829982ms,998640
8.162032413555428ms,998642
8.175609971280874ms,998643
8.189187529006318ms,998645
8.202765086731763ms,998649
8.216342644457209ms,998653
8.229920202182655ms,998659
8.243497759908099ms,998661
8.257075317633543ms,998663
8.270652875358989ms,998664
8.284230433084435ms,998667
8.29780799080988ms,998668
8.311385548535323ms,998669
8.324963106260771ms,998669
8.338540663986215ms,998670
8.35211822171166ms,998673
8.365695779437106ms,998675
8.379273337162552ms,998680
8.392850894887996ms,998686
8.40642845261344ms,998690
8.420006010338886ms,998694
8.433583568064332ms,998696
8.447161125789776ms,998700
